[2017-06-07 11:20:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:20:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":[],"mode":"all"},"is_exception":false} []
[2017-06-07 11:20:50] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/flushSystem/key/7d3a615d4c13b51f5c9ca3d4fa1109159c9f5637494a7e04773e32f6ce65dd59/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:20:52] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/index/key/7d9ef967814a96444cdd02e1c2542a37448fb146a2427c356b25a2594794e8ab/","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:21:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/massDisable/key/ef4f84d19c99595d3933165d0f10f4954eb675a7a2c4342959406d45a8e992e3/","invalidateInfo":{"tags":["CONFIG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:21:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://127.0.0.1:8888/maisondesfleurs/admin/admin/cache/massDisable/key/ef4f84d19c99595d3933165d0f10f4954eb675a7a2c4342959406d45a8e992e3/","invalidateInfo":{"tags":["FPC"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:59:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["LAYOUT_GENERAL_CACHE_TAG"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:59:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["BLOCK_HTML"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:59:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["COLLECTION_DATA"],"mode":"matchingTag"},"is_exception":false} []
[2017-06-07 11:59:00] main.DEBUG: cache_invalidate:  {"method":"GET","url":"http:/","invalidateInfo":{"tags":["REFLECTION"],"mode":"matchingTag"},"is_exception":false} []
